State	Total_Jobs	Jobs_With_Coordinates
Alabama	2	2
Alaska	5	5
Arizona	2	2
Arkansas	3	3
California	29	29
Colorado	7	7
Connecticut	4	4
Florida	18	18
Georgia	5	5
Hawaii	9	9
IN	1	1
Idaho	1	1
Illinois	8	8
Indiana	3	3
Iowa	2	2
Kansas	5	5
Kentucky	3	3
Louisiana	3	3
Maine	4	4
Maryland	7	7
Massachusetts	4	4
